,Date,Country,Activity
386,2015,USA,Water sports
387,2015,AUSTRALIA,Water sports
388,2015,REUNION,Water sports
389,2015,SOUTH AFRICA,Water sports
390,2015,USA,Water sports
391,2015,USA,Others
392,2015,FRENCH POLYNESIA,Water sports
393,2015,BAHAMAS,Others
394,2015,USA,Others
395,2015,AUSTRALIA,Water sports
396,2015,AUSTRALIA,Water sports
397,2015,USA,Water sports
398,2015,AUSTRALIA,Water sports
399,2015,USA,Others
400,2015,USA,Water sports
401,2015,SOUTH AFRICA,Water sports
402,2015,USA,Water sports
403,2015,SOUTH AFRICA,Water sports
404,2015,USA,Others
405,2015,AUSTRALIA,Water sports
406,2015,USA,Water sports
407,2015,USA,Water sports
408,2015,AUSTRALIA,Water sports
409,2015,USA,Others
410,2015,PUERTO RICO,Others
411,2015,USA,Water sports
412,2015,USA,Others
413,2015,USA,Others
414,2015,USA,Others
415,2015,USA,Water sports
416,2015,USA,Others
417,2015,USA,Others
418,2015,REUNION,Water sports
419,2015,USA,Others
420,2015,USA,Others
421,2015,FRENCH POLYNESIA,Others
422,2015,USA,Water sports
423,2015,USA,Water sports
424,2015,USA,Others
425,2015,NEW CALEDONIA,Water sports
426,2015,USA,Water sports
427,2015,AUSTRALIA,Water sports
428,2015,SOUTH AFRICA,Water sports
429,2015,USA,Water sports
430,2015,USA,Others
431,2015,AUSTRALIA,Water sports
432,2015,AUSTRALIA,Water sports
433,2015,USA,Others
434,2015,REUNION,Water sports
435,2015,AUSTRALIA,Water sports
436,2015,USA,Others
437,2015,ITALY,Water sports
438,2015,BRAZIL,Water sports
439,2015,SOUTH AFRICA,Water sports
440,2015,EGYPT,Water sports
441,2015,USA,Water sports
442,2015,FRENCH POLYNESIA,Others
443,2015,AUSTRALIA,Others
444,2015,MEXICO,Others
445,2015,FRENCH POLYNESIA,Others
446,2015,ATLANTIC OCEAN,Others
447,2015,REUNION,Water sports
448,2015,AUSTRALIA,Water sports
449,2015,AUSTRALIA,Water sports
450,2015,AUSTRALIA,Water sports
451,2015,AUSTRALIA,Others
452,2015,USA,Others
453,2015,AUSTRALIA,Water sports
454,2015,SOUTH AFRICA,Others
455,2015,USA,Others
456,2015,AUSTRALIA,Water sports
457,2015,AUSTRALIA,Others
458,2015,AUSTRALIA,Others
459,2015,USA,Others
460,2015,BAHAMAS,Water sports
461,2015,SOUTH AFRICA,Water sports
462,2015,USA,Others
463,2014,AUSTRALIA,Water sports
464,2014,AUSTRALIA,Others
465,2014,GREECE,Others
466,2014,SOUTH AFRICA,Water sports
467,2014,USA,Water sports
468,2014,AUSTRALIA,Others
469,2014,JAPAN,Water sports
470,2014,AUSTRALIA,Others
471,2014,SPAIN,Others
472,2014,AUSTRALIA,Water sports
473,2014,MAURITIUS,Others
474,2014,AUSTRALIA,Others
475,2014,USA,Others
476,2014,USA,Water sports
477,2014,USA,Water sports
478,2014,AUSTRALIA,Water sports
479,2014,USA,Water sports
480,2014,USA,Water sports
481,2014,AUSTRALIA,Water sports
482,2014,USA,Water sports
483,2014,USA,Water sports
484,2014,USA,Water sports
485,2014,USA,Water sports
486,2014,AUSTRALIA,Water sports
487,2014,USA,Others
488,2014,USA,Water sports
489,2014,AUSTRALIA,Water sports
490,2014,USA,Water sports
491,2014,USA,Others
492,2014,USA,Water sports
